text,label,notes
"It's just not exorbitant though. All the OA journals I publish in are not-for-profit. They're not making bank off this, and the ones that do make decent profits often return it to academic societies. If you're publishing in ones that rip you off and return private profits, that's on you because there are alternatives.",analysis,ai-prelabeled; human-reviewed
"Yeah, there are issues with academic publishing. But I get the impression that a lot of the issues you are facing are due to your institution. If you moved elsewhere, there is a good chance that journal reviews are part of your expectations are paid for under part of your effort.",analysis,ai-prelabeled; human-reviewed
"No offence, and I share your disgust for the big for-profit publishers, but it seems a bit that you vastly overestimate the capabilities and reliability of AI agents, and massively underestimate the cost and complexity of running the digital infrastructure to host a server and website for such a level of complexity. This isn't done by vibe-coding a frontend template in 10 minutes.",analysis,ai-prelabeled; human-reviewed
"I'm seeing a roughly 40% profit margin reported, which means AFTER all of these expenses are taken care of. And their profit dollars are up 10% since last year, probably related to AI efficiencies. To me, if you have a 40% profit margin for a digital asset, you can afford to pay the reviewers like ""shareholders"".",analysis,ai-prelabeled; human-reviewed
"This seems great, but many if not most of the society run journals are still published by major publishers and, as the OP noted, Open Access just shifts the costs to arguably the people who should be getting paid the most - the authors. OA is really a new take on vanity press, dressed up in pretty language.",analysis,DIFFICULT: punchy conclusion ('OA is vanity press') but explains cost-shifting mechanism -> analysis
"I don't reject all requests only because I still need someone to review mine. but I agree with OP that the system is very much broken. IMO, It is a time to move to a self online publication system with open comments, discussions, recommendations. There will be self appointed curators who select important works for specific fields, and the good ones will get a large following.",analysis,ai-prelabeled; human-reviewed
"This is easy enough to do when you have some papers underneath you, and enough clout that it doesn't matter where you publish. However, for ECRs this is almost detrimental to your career.",analysis,ai-prelabeled; human-reviewed
"A strike would also further prolong the review process at most of the top journals in my field. Editors are already telling everyone who will listen that it’s a struggle to find reviewers. I waited over a year for an editor to send one of my manuscripts out; they claimed the delay was because potential reviewers kept declining. Assuming they are telling the truth (and I have no reason to think they aren’t), I sympathize with both the editor and the reviewers—people who are almost surely overworked and justified in their refusals.",analysis,ai-prelabeled; human-reviewed
"I don't even understand this problem. In computer science, all of our research is published in conferences or journals run by non-profit professional organizations like the ACM or IEEE. We have shown that it is possible and, in fact, quite easy for the community to just publish research themselves without involving for-profit publishers. Why isn't everyone doing it?",analysis,ai-prelabeled; human-reviewed
"IEEE is indeed a non profit. But they are also sitting on over $1 billion in net assets as of 2024 and had over $600 million in revenue (very little was from membership dues). They make a lot of money on access to their periodicals. Most people are surprised at how large IEEE is (1000 employees). Nonetheless, I do many reviews for them each year because it is my professional home.",analysis,ai-prelabeled; human-reviewed
"Large parts of the publishing mess are fairly field-dependent. I'm in the humanities, and literally all of the major journals that submit to or review for over the last 30 years 1) do not charge publishing fees, 2) are edited by faculty and graduate students with university appointments, and 3) rely on volunteers not only to review articles but books as well. Those journals are often relatively inexepensive for individual subscribers; usually a benefit of membership in the organization. All are included in JSTOR so most academic libraries have them already.",analysis,ai-prelabeled; human-reviewed
"For many humanities titles the stand-alone fees are sometimes as low as $100-200, but there are so many bundled into JSTOR now that we aren't buying a long on their own. But I've seen STEM titles that are $10K per year (or more) for a single title.",analysis,ai-prelabeled; human-reviewed
"It's very easy to describe review work as ""unpaid,"" but it is objectively not that. If you submit papers to be published, someone must review them. Therefore, you are paid in-kind for your review work by those who are reviewing your papers. Unless you are reviewing more than twice as many papers as you are publishing, then you are not doing unpaid labour in this system. Paying reviewers in cash would be much, much worse than the current peer review system because it would significantly distort incentives. It is objectively a bad idea.",analysis,ai-prelabeled; human-reviewed
"No one should feel obligated to peer review if they don’t have the bandwidth or don’t like the way a particular journal/its publisher is run, but assuming you’re typing this in EM after clicking that you decline to review, it’s likely going to someone who has no real power in this situation (if anyone reads it at all) who will just roll their eyes about how much time you spent writing it before going on to look for more reviewers because that is their job per their (probably low-balled) contract. (Agree with those who say only publish and review for society-owned journals if you dislike the large publishers so much, although the large publishers actually contract with many society-owned journals as the publisher because the process is so complex these days.)",analysis,ai-prelabeled; human-reviewed
"They definitely won't take notice because they already know all of these things and discuss it amongst themselves but cannot do anything about it because, like every other person in nearly every field of work in our society, they are overworked and pulled in a million directions personally and professionally and just want to go home and have dinner with their spouse or put their kid to bed or whatever.",analysis,ai-prelabeled; human-reviewed
"Sounds like you’re really proud to carry the ladder up behind you. Good for you. Sad for junior faculty in your field though. Absent some sort of substantive work to de-prioritize peer review in hiring practices and tenure evaluations, I'm not sure what this email accomplishes other than makes a likely unpaid editor feel bad. But good for you for getting it off your chest",analysis,ai-prelabeled; human-reviewed
"So you have no skin in the game and if someone under different pressures looses their job, you still have yours. Keep doing you, but in my state if I don’t publish I risk losing my job as a tenured faculty member.",analysis,ai-prelabeled; human-reviewed
"maybe that is the part you should work on changing - getting your institution to value peer-review as scholarly activity in annual evaluations? Mu university counts it as research activity, so I know that it can be done without hurting others, at least.",analysis,ai-prelabeled; human-reviewed
"I mean I get the sentiment but also I’m a PhD candidate trying to defend within a few months so I don’t reject reviewing invitations as I feel it might be a way to cut me off from the field. Also, considering I would also like to publish my work, I see it as a thank you to those who also participate in the peer review process.",analysis,ai-prelabeled; human-reviewed
"I certainly agree. Under our current regime, the people who do the work seem increasingly distant from their earned wages. I’ve never seen such greed. My dad was a union man and they had to fight and scrap to get a decent wage. Now there is union busting right out in the open. Even those of us in the “higher echelons” do not get compensated. There is your situation. Physicians, especially primary care docs are increasingly dissatisfied due to increasing workloads and hours without salary increases that are commensurate with workload. Again, all so others can line their pockets. Absurd and sad.",analysis,ai-prelabeled; human-reviewed
"I have often found that faculty engage in some sort of bad behavior, whether it being carelessness towards welfare of mentees, lack of ethics, selfishness, poor rigor etc. and I always wonder if faculty were always this way or if the institution made them this way and the environment molds people to engage in increasingly bad behaviors to self promote and improve outcomes for oneself.",analysis,ai-prelabeled; human-reviewed
"Part of faculty evil is caused by administrator pressure to be evil; contradictory rules and regulations, “do more with less” standards (I’m from community college, and we are always needing more), and administrative ignorance to what teaching entails create all kinds of exhausted, paranoid, and angry faculty.",analysis,ai-prelabeled; human-reviewed
"It’s interesting that you see that mistake all the time, because I have not spoken with a single person in or seriously interested in academia who thinks it’s free of politics. You’re either exaggerating or surrounded by a ton of strangely naive people.",analysis,ai-prelabeled; human-reviewed
I think its fair to say that PhD applicants and PhD students make this mistake. Maybe it is field dependent. I see this naivety a lot among Economics PhD applicants.,analysis,ai-prelabeled; human-reviewed
"in fact, the reason i might stay away from pursuing tenure is because the whole process seems like an up-and-coming politician running for a small office in their district.",analysis,ai-prelabeled; human-reviewed
"Having served on many grant review committees, both in industry and for federal grants, I can say there's very little meritocracy. People who are well-known, have lots of connections etc, have a much lower bar than people who don't. I've literally seen panels fund terribly flawed proposals, even ones where the problem has already been solved by another PI, just because they knew the PI and ""were confident he would do good research with the money, even if it wasn't what he proposed"".",analysis,ai-prelabeled; human-reviewed
"But I think a meritocracy should evaluate you on the merits of the work, not your social position. Saying that this is somehow meritocratic is like saying accepting the son of a successful businessman with terrible grades over an immigrant's kid with perfect scores is meritocratic because the businessman's kid is more likely to succeed. It's true that he is, but that's not evaluating based on merits. In fact, it's self-fulling because if you're at a good school and I give you enough money, you'll generate good work just because the students are brilliant and will do the work for you. (I know people exactly like this, too.)",analysis,ai-prelabeled; human-reviewed
"Industry politics aren’t tied to outcomes once you’re in a big enough company. Microsoft, Salesforce, etc: entire product lines are invented and cut based on politics. Your department fell out of favor? Suck it, your job doesn’t exist any more. The product you just spent two years building has been cancelled and will never be released because another VP was more conniving than yours. Layoffs are done to satisfy stockholders who are nervous at industry wide vibes and announced in a sentence following the phrase “record breaking profits”. Your career depends on the ability of someone you will never meet to pretend that the product you run is essential to NFTs/crypto/teenagers/each years market fad.",analysis,ai-prelabeled; human-reviewed
I didn’t see any politics among my professors during bachelors. I hardly interacted with professors at all. Are undergrads really interacting with professors so much as to get an inside look?,analysis,ai-prelabeled; human-reviewed
